artist,play_count
A.R. Rahman,1244
Coldplay,872
Zero 7,695
Two Door Cinema Club,618
Clint Mansell,438
Gustavo Santaolalla,421
Radiohead,413
The Doors,387
Phoenix,374
Andrew Belle,358
Opeth,343
Red Hot Chili Peppers,331
Frou Frou,310
Bill Withers,303
Norah Jones,252
The Weeknd,244
Thievery Corporation,238
Kings of Convenience,230
The Beatles,184
Amit Trivedi,173
Oren Lavie,170
Iron & Wine,167
Shankar-Ehsaan-Loy,167
Bill Elm and Woody Jackson,158
Joe Satriani,158
The Shins,156
Cary Brothers,148
Led Zeppelin,138
The Smiths,137
Aerosmith,134
Bitter:Sweet,113
Simon & Garfunkel,113
Devendra Banhart,108
Dream Theater,105
Goo Goo Dolls,98
Porcupine Tree,93
Preetam,83
Shankar Ehsan Loy,83
Interpol,82
Pearl Jam,82
Sondre Lerche,82
Iron Maiden,81
Bob Dylan,76
The Weepies,73
Feist,71
Flunk,71
José González,71
Mickey J Meyer,71
The Virgins,70
Katatonia,69
Bryan Adams,68
Death Cab for Cutie,65
Darren Hayes,63
Rubies,62
Nirvana,60
Wildcat! Wildcat!,59
Foals,57
Devi Sri Prasad,56
Ryan Adams,56
Riverside,55
The Temper Trap,55
The Killers,54
Papon [www.DJMaza.Com],53
Sting,52
Shilpa Rao & Kshitij Tarey,51
The Radio Dept.,48
Someone Still Loves You Boris Yeltsin,47
K.K.,46
Franz Ferdinand,42
Marian Hill,42
The Hollies,42
Thomas Dybdahl,41
Nick Drake,40
Nine Inch Nails,40
Anirudh Ravichander,38
Hindi,38
Air,37
Harris Jayaraj,37
Röyksopp,37
"A. R. Rahman, Sid Sriram & Aaryan Dinesh Kanagaratnam",36
David Bowie,36
Earth Wind & Fire / Fatboy Slim,36
KT Tunstall,36
Bread,34
The Whitest Boy Alive,34
City and Colour,33
Colin Hay,33
Erlend Øye,33
Jacek Utko,32
Regina Spektor,32
Yochai Benkler,32
Muse,31
Staind,31
Sandeep Chowta,30
Vidyasagar,30
Alexi Murdoch,29
Control Machete,29
65daysofstatic,28
Mohit Chauhan,28
Seabear,28
Shantanu Moitra,28
Weezer,28
Dan Ariely,27
Green Day,27
Jal,27
R.E.M.,27
Radio Lingua Network,27
Sia,27
U2,27
Modest Mouse,26
Placebo,26
Titán,26
hindi pop,25
hoops,25
The Who,25
Blur,24
Bonobo,24
Damien Rice,24
Darren Korb,24
Halsey,24
Liquid Tension Experiment,24
Novembre,24
The White Stripes,24
Snow Patrol,23
The Apples in Stereo,23
Arcade Fire,22
Jethro Tull,22
Jimi Hendrix,22
"Ryuichi Sakamoto, Jaques Morelenbaum & Everton Nelson / Gustavo Santaolalla",22
The Raveonettes,22
Two Fingers,22
"A. R. Rahman, Benny & Tanvi",21
Afterlife,21
Audioslave,21
Beck,21
"Blaaze, Benny, Tanvi, Viviane & Claire",21
Camera Obscura,21
Oasis,21
Telugu,21
William Fitzsimmons,21
Blue States,20
Drake,20
Gregory and the Hawk,20
Ilaiyaraaja,20
Jane's Addiction,20
Turin Brakes,19
Apple Movie Trailers,18
Cynic,18
Nightmares on Wax,18
Renny Gleeson,18
Sonic Youth,18
Teitur,18
Advaita,17
alt-J,17
Devin Townsend,17
Flume,17
John Denver,17
Motörhead,17
Siddharth,17
Sofa Surfers,17
The Bird and the Bee,17
Anushka Manchanda,16
Bastille,16
Coconut Records,16
Eagles,16
Fufanu,16
Keane,16
Belle and Sebastian,15
Eric Clapton,15
Kid Loco,15
Pixies,15
Sufjan Stevens,15
The Minders,15
Tosca,15
Train,15
Vishal Dadlani -  www.DesiUpdate.com,15
Agalloch,14
Ariana Grande,14
Au Revoir Simone,14
Cymbals,14
Madhu Priya & Ramky,14
Pink Floyd,14
Supreme Beings of Leisure,14
Symphony X,14
The Clash,14
The Flaming Lips,14
The Rolling Stones,14
The Verve,14
Adam Kempenaar & Matty Robinson,13
Angus & Julia Stone,13
Anuradha Paudwal,13
Boozoo Bajou,13
Burt Bacharach,13
Generationals,13
Mogwai,13
My Morning Jacket,13
Ozomatli,13
Roo Panes,13
Shankar Mahadevan,13
UFO,13
